Designator,Footprint,Quantity,Value,LCSC Part #
"D0-10, D0-11, D0-12, D0-13, D0-8, D0-9, D1-10, D1-11, D1-12, D1-7, D1-9, D2-10, D2-11, D2-12, D2-13, D2-7, D2-8, D3-11, D3-12, D3-13, D3-7, D3-8, D3-9, D4-10, D4-12, D4-7, D4-8, D4-9, D5-10, D5-11, D5-13, D5-7, D5-8, D5-9, D6-10, D6-11, D6-12, D6-8, D6-9, DI10, DI11, DI12, DI13, DI7, DI8, DI9, DS10, DS11, DS12, DS13, DS7, DS8, DS9",Diode_TH_SMD,53,1N4148W,
"RC0-10, RC0-11, RC0-12, RC0-8, RC0-9, RC1-10, RC1-11, RC1-12, RC1-7, RC1-9, RC2-10, RC2-11, RC2-12, RC2-13, RC2-7, RC2-8, RC3-11, RC3-12, RC3-13, RC3-7, RC3-8, RC3-9, RC4-10, RC4-12, RC4-7, RC4-8, RC4-9, RC5-10, RC5-11, RC5-13, RC5-7, RC5-8, RC5-9, RC6-11, RC6-12, RC6-8, RC6-9",Kailh-PG1353-Hotswap-R-1U,37,SW_Push,
RC0-13,Kailh-PG1353-Hotswap-R-1.25U,1,SW_Push,
RC6-10,Kailh-PG1353-Hotswap-ISOEnter-R,1,SW_Push,
U1,XIAO-nRF52840-DIP,1,XIAO-nRF52840,
